Column Name,Content
Software Engineering,"Educational institute Graduate School of Informatics Programme type Master's Credits 60 EC Duration 1 Year Instruction language English Education form Full-time and part-time, Day-time class Contact drs. R. J. Kellermann Deibel Science Park 904 +31 20 5255856 The programme takes one academic year (60 credits) and awards a Master of Science degree in Software Engineering. It is likewise possible to attend the programme part-time, which takes two years instead of one. Website: Please, refer tohttp://www.student.uva.nl/sefor all announcements and information regarding the Master Software Engineering. Study load and credits: The University of Amsterdam (UvA) applies the European Credit Transfer System (ECTS). The general study load for students is 30 EC per semester. A full academic year of two semesters equals 60 EC. Each semester lasts 20 weeks with 3 periods: 2 periods of 8 weeks and a third period of 4 weeks. A student’s study load (both contact hours and hours spent studying and preparing for assignments) is measured in European Credits (EC). Under Dutch law 1 EC represents 28 hours of work and 60 EC represent one academic year of full-time study. This is equivalent to about 40 hours  of work per week. Educational institute Graduate School of Informatics Programme type Master's Credits 60 EC Duration 1 Year Instruction language English Education form Full-time and part-time, Day-time class Contact drs. R. J. Kellermann DeibelScience Park 904+31 20 5255856 Programme DirectorSoftware Engineering dr. C.U. Grelck C.U.Grelck@uva.nl"
Content,"The Master Software Engineering familiarises students with the broad and dynamic field of software engineering. Software engineering projects are complex undertakings, and there is no one recipe that guarantees success in all cases. This one year master programme makes students better software engineers, designers and architects. It enables graduates to make significant contributions to large-scale software projects in industry and academia alike. Software engineering uses many results from computer science, but the Master Software Engineering distinguishes itself from classical computer science curricula in a number of aspects, among others the size and complexity of software systems concerned, the role of human factors and the volatility of requirements. These aspects lead to a high degree of uncertainty about the impact and validity of design decisions. What is good for performance may be detrimental for understandability, maintainability and re-use. Software engineers must strive to understand these trade-offs and reduce dependencies. As changing and conflicting goals are omnipresent, software continuously needs to evolve. The software engineering domain in itself is in constant flux. Innovations in technology, design patterns and techniques are continuous. However, out-of-the-box solutions often have their specific limitations. We believe a good software engineer is like a good researcher. We intend to teach our students how to acquire relevant knowledge, how to improve making decisions, how to reflect on their current approach, how to learn to question their assumptions and how to assess their ideas. We expect students to have a solid technological basis and a fundamental understanding of computer science and software. From a technical perspective the curriculum covers software quality, specification-based automated testing, automatic code analysis, automatic code transformation and development of domain specific languages. Non-technical topics focus on software architectures, on requirements engineering and on organizational aspects of software engineering. Continuous interaction between students and staff is characteristic for the programme. Students work on challenging assignments and receive immediate feedback, making the programme very intensive."
The Software Engineering curriculum,The Master Software Engineering is a one-year academic programme with a mandatory curriculum  of 60 EC.
Software Engineering,"Full-time Programme Part-time programmeIn the part-time variant one course is taken per period instead of two. Students are expected to work around 20 hours per week and to spend two full days at university. Semester 1 Sem. 1 Sem. 2 EC sem.1-period 1:    Requirements Engineering   6 Software Testing   6 sem.1-period 2:    Software Architecture   6 Software Evolution   6 sem.1-period 1,2,3, and sem.2 period 4:    Preparation Masterproject Software Engineering   6 Semester 2    sem.2-period 4:    Software Process   6 Software Construction   6 sem.2-period 4,5,6:    Masterproject Software Engineering   18 First year Second year sem.1-period 1: sem.1-period 1: Requirements Engineering Software Testing ORSoftware Testing ORRequirements Engineering  sem.1-period 2: sem.1-period 2: Software Architecture Software Evolution ORSoftware Evolution ORSoftware Architecture   sem.1-period 3: sem.1-period 3: Preparation Masterproject Software Engineering Masterproject Software Engineering  sem.2-period 4: sem.2-period 4: Software Construction Software Construction ORSoftware Process ORSoftware Process  sem.1-period 1,2,3 and sem.2-period 4 sem.2-period 4,5,6: Preparation Masterproject Software Engineering Masterproject Software Engineering"
The teaching staff,"The Master Software Engineering has been designed by members of the SE teaching team, which consists of employees from: Core teaching staff: * coordinator Lecturer e-mail dr. C. Grelck * C.U.Grelck@uva.nl drs. H. Dekkers H.L.dekkers@uva.nl prof. dr. D.J.N. van Eijck (CWI-UvA) jan.van.eijck@cwi.nl drs. W. Leeuwis W.Leeuwis@uva.nl dr. T. van der Storm T.vanderStorm@uva.nl the Instituut voor Informatica (IvI) of the FNWI; the Cluster Software Engineering (http://www.cwi.nl/sen) of the 'Centrum voor Wiskunde en Informatica' (CWI-SEN); the Information Management and Software Engineering department at the VU."
Objectives and exit qualifications of the Software Engineering programme,"Objectives of the Software Engineering Programme Exit qualifications of the Software Engineering Programme General Specific exit qualifications per course: The      aim of Software Engineering is to systematically design, construct and      maintain large software systems that are delivered in time and within      budget, that are reliable and efficient, and that are maintainable over      the long term. The      Software Engineering programme educates students to become professional      software engineers who can not only be employed by industry and      government, but can also be active in higher education and academic      research. The      graduate has insight in the most important theories, methods and      techniques in the domain of Software Engineering and has sufficient      background to familiarize him/herself with new methods and techniques. The      graduate can apply this insight to find innovative solutions for existing      and new problems, while applying theory in the right way in practice.      He/she can analyze and solve domain-specific problems as well as general      Software Engineering problems. The      graduate can make a valuable contribution to complex software projects      that require the independent and critical application of academic      knowledge and skills. The      graduate has sufficient technical knowledge and intellectual capacities to      play - after some years of practical experience - a managerial or advisory      role in the Software Engineering profession. The      graduate can formulate a vision regarding Software Engineering and can      contribute to the evolution, innovation and policy development needed for      software systems. The      graduate can solve Software Engineering problems using abstraction and      modelling, and can create solutions that take their societal context into      consideration, even if only partial information is available. The      graduate can clearly report on his/her findings, both orally and in      writing, and can explain problems at the right level of abstraction. The      graduate has the skills to explore (search, read, assess) documentation,      literature and tools in the domain of Software Engineering. The      graduate can reflect on his/her own accomplishments and can therefore continuously      develop him/herself. The      graduate can act well inmono-disciplinary teams. The      graduate has research skills at the academic level and can autonomously      perform research in the domain of Software Engineering. The      graduate can understand the experiences of others. Software      Evolution: the graduate masters the methods and techniques needed to      analyze an existing software system and to enable it to evolve given      changing requirements. Software      Testing: the graduate can produce formal specifications of modest-sized      samples of software and is able to use formal specifications to generate      relevant tests for them. Software      Construction: the graduate knows how to employ model-driven and      language-driven approaches in software construction. The graduate is also      able to reason about and reflect upon aspects of design, code quality, and      software construction methods. Software      Architecture: the graduate can translate system requirements into a      software architecture, handle trade-offs between conflicting requirements,      motivate choices made, and assess an architecture document for different      stakeholders having different priorities. Requirements      Engineering: the graduate understands why user needs are so hard to      express, capture and understand. The graduate knows the shortcomings of      best practices like product owner, prototyping, interviewing and use      cases. The graduate has had a first experience with data-driven methods      for requirements engineering like Contextual Design. Software      Process: the graduate understands why big software engineering projects      are prone to failure. The graduate has insight in how performance is      influenced at different levels: that of the individual software engineer,      the team and the whole organization. The graduate is able to understand      why a method like RUP or Scrum is sometimes successful and sometimes not      and how to adapt a method based on a situational analysis."
Admission Requirements MSc Software Engineering,"1. Admission to the master programme Software Engineering is possible for students with either of the following qualifications: In the assessment the quality, motivation and the level of knowledge of the candidate will be reviewed. The above mentioned procedure will be further established by the Examinations Board. 2. Every      application for admission will be reviewed by the Examination Board.      Without approval of admission by the Examinations Board no candidate will      have access to the master programme of Software Engineering. 3. At      the request of a student, the Examinations Board may deviate from the      provisions of paragraph 1. (a)       A Bachelor Informatics or Technical Informatics from a Dutch university.(b)       A foreign qualification comparable to 1 (a). In an assessment the       quality, motivation and the level of knowledge of the candidate will be       reviewed.(c)       Every Higher Vocational Education (HBO) Bachelor in Informatics (HIO),       Technical Informatics, or a Bachelor in a comparable HVE (HBO) programme       with a graduate point average (GPA) of 7 (out of 10) or higher, for       students who successfully pass the assessment for the Master Software       Engineering, which students must also have completed a study programme       that includes the following courses, or courses that are comparable to       these: (a)        Data structures and algorithms, (b)        Software and database design, (c)        Operating systems, (d)        Programming languages, (e)        Software engineering. (d)       All other candidates who have successfully completed a (substantial part       of 1a) comparable or related study programme, and who exhibit during an       admission procedure sufficient quality, motivation and prerequisite       knowledge or experience in order to successfully complete the study       programme. In the review of candidates the focus will be specifically on       the following aspects: Basic        knowledge of discrete mathematics Basic        knowledge of logic Basic        knowledge of formal language theory Basic        knowledge of data structures and algorithms Basic        knowledge of compiler construction Basic        knowledge of software engineering Basic        knowledge of design patterns and UML Programming        capabilities (Linux, C, Java, develop-environments) General        academic skills"
Software Engineering,
Requirements Engineering,"Course catalogue number 5364REEN6Y Credits 6 EC Language of instruction English Time period(s)  See also College/graduate Graduate School of Informatics Lecturer(s) Is part of The success of a software system depends on the proper interpretation and analysis of user needs. Experience shows that it is extremely difficult to adequately define and specify a system. The perception of customers and users of the problem is often incomplete, inaccurate and changes over time. Knowledge is hard to express and to transfer. During this course you will understand why user needs are so hard to express, capture and understand. You will also learn the shortcomings of best practices like scrum, prototyping, interviewing and use cases. Furthermore you will learn about data-driven methods for requirements engineering like Contextual Design. Requirements methods and techniques will be discussed during the lectures. If feasible the whole student group will collaborate in one real life requirements project based on the method of contextual design. Next to specific RE literature we will also study literature from psychology, law, philosophy and cognitive science to get a better understanding of the subject. Finally students will design and do an experiment to show the inherent weakness of requirements best practices, like the use of prototyping for requirement validation. This will be done from the perspective of human factors. Information about procedures can be found athttp://www.student.uva.nl/se/az/item/course-registration.html. Lecture, seminar and computer lab. Reading tests, paper and lab work. Recommended prior knowledge: Knowledge of requirement engineering, for example books of Sommerville, Robertson, van Lamsweerde, Wiegers or Pohl. 'Modeling techniques', e.g. UML diagrams to describe software behaviour. Course catalogue number 5364REEN6Y Credits 6 EC Language of instruction English Time period(s) Sem. 1Sem. 2See also Sem. 1 Sem. 2   Sem. 1 Sem. 2   College/graduate Graduate School of Informatics Lecturer(s) drs. H.L. Dekkers (co-ordinator) Is part of Master's Software Engineering Add course to planner Sem. 1 Sem. 2   drs. H.L. Dekkers (co-ordinator) Master's Software Engineering Literature:  D. Kahneman 'Thinking, fast and slow'."
Software Testing,"Course catalogue number 5364SOTE6Y Credits 6 EC Language of instruction English Time period(s)  See also College/graduate Graduate School of Informatics Lecturer(s) Is part of After the course, the student is able to understand and produce formal specifications of modest-sized samples of software, and is able to use formal specifications to generate relevant tests for the software. Software testing is checking whether a given software system satisfies given requirements or specifications. Without a specification, it is impossible to state what a piece of software should do, and there is no reasonable way to set up the test process. An informal specification is not enough, for if we want to automate the test process we need pre-given information about (i) which tests are relevant, and about (ii) what the outcomes of the relevant tests should be. The information about (i) states the preconditions of the code, and the information about (ii) states the postconditions. Programs written in functional or imperative languages can be tested, given a formal specification, by means of a random test generator. This test method will be illustrated for a number of example programs written in Haskell. The course includes a lightning introduction to this languages, and then focusses on how to test programs written in either functional or imperative style, and how to use tools for automated test generation. Information about procedures can be found athttp://www.student.uva.nl/se/az/item/course-registration.html. Lectures, seminars and computer lab sessions. Course examination will consist of assignments during the course plus a final exam consisting of a theory part and a computer lab part. Final grade determined for 40% by the course assignment results and for 60% by the result on the final exam. Course catalogue number 5364SOTE6Y Credits 6 EC Language of instruction English Time period(s) Sem. 1Sem. 2See also Sem. 1 Sem. 2   Sem. 1 Sem. 2   College/graduate Graduate School of Informatics Lecturer(s) prof. dr. D.J.N. van Eijck (co-ordinator) Is part of Master's Software Engineering Add course to planner Sem. 1 Sem. 2   prof. dr. D.J.N. van Eijck (co-ordinator) Master's Software Engineering Literature: Kees Doets and Jan van Eijck, 'The Haskell Road to Logic, Maths and Programming'. College Publications, London 2012. This book can be ordered (at a discount) with the lecturer. Literature: Recommended background reading: M. Huth and M. Ryan, 'Logic in Computer Science: Modelling and Reasoning about Systems',Cambridge University Press 2004 (Second Edition). Literature: Recommended background reading: Johan van Benthem, Hans van Ditmarsch, Jan van Eijck and Jan Jaspars,'Logic in Action', electronically available fromhttp://www.logicinaction.org Syllabus: Reader: Jan van Eijck, 'Purely Functional Algorithm Specification'. Will be made available during the course. Syllabus: Syllabus:"
